,count,mean,std,min,25%,50%,75%,max
v70,17664.0,-0.000459477209357274,0.002369162278118989,-0.0143855688626859,5.782545962940145e-05,0.00020839136081679999,0.00034654329468995,0.0080453797850803
v71,17664.0,-0.0003739315197425122,0.0015189927225116465,-0.0111309398750694,-0.000385651113571625,0.0001182436920379,0.000242581997006475,0.0041976895662086
v72,17664.0,-0.00035044822714546596,0.0011018323293503214,-0.0073176695601777,-0.000735748742494675,0.0,0.000195072003964975,0.002861970757744
v73,17664.0,-0.0003455543373034155,0.0008964950447262449,-0.0067399675222712,-0.000761218157333375,-0.00014304371674315,0.000178771715509775,0.0019500808622096
v74,17664.0,-0.0003412255737443217,0.0007682018042463455,-0.0049697298908398,-0.000739064649601975,-0.0002608733097371,0.00018948147936015,0.002389911939635
v75,17664.0,-0.0003560571339272338,0.0007775136867264255,-0.0063046762831227,-0.000740988277525275,-0.00029901842670345,0.0002081346980896,0.0014293031619021
v76,17664.0,-0.0003377973800989492,0.0007463957571620179,-0.0051039074527041,-0.00074967414344195,-0.00024713667810355,0.00019810928816995,0.0014341313513018
v77,17664.0,-0.0003503072385083155,0.0008622247685672321,-0.0058623736162523,-0.0007712235211328,-0.00017956720043095,0.000184110118608625,0.0014485814647435
v78,17664.0,-0.0003432642060753454,0.000869589106219375,-0.0065476770827312,-0.0008093929371399,-0.00016770583283155002,0.00019342790147292498,0.0025488502568834
v79,17664.0,-0.00036156693929346095,0.0011142330104278663,-0.0081439940612605,-0.000741923386186875,0.0,0.0001887510647444,0.0028518405539327
v80,17664.0,-0.0003807550701433034,0.0015065189421920996,-0.0114864975244839,-0.000463708983221475,0.00011295866294049999,0.000225473729773925,0.0035604302800811
v81,17664.0,-0.0004516743789222576,0.002415681098003393,-0.0167320469522877,3.947016089786773e-05,0.00020937837291565,0.000346851720716975,0.0077336003421846
v82,17664.0,-0.0007527438890476961,0.005220874036414173,-0.0431339682038242,0.00013457228716032502,0.00034383289796734997,0.0006355406454855,0.0094683324552908
v83,17664.0,-0.0007948976200968283,0.00550430736294827,-0.0551438185641472,0.0001325545201453,0.00036137839998225,0.00068615490161675,0.0064341580284577
v84,17664.0,-0.00046802973784491615,0.002613787740788032,-0.02247740296099,4.340870880706511e-05,0.00020421534821975001,0.000351423649079975,0.0082601989024487
v85,17664.0,-0.00037920850247100856,0.0015891443512206969,-0.0129527421529567,-0.00045775856697435,0.00012227521910434998,0.00023628047877942502,0.0038055935102724
v86,17664.0,-0.00035576003338036634,0.0011512223644904694,-0.0089917925833355,-0.0007831212843997,9.568043993242806e-06,0.0001862352447462,0.0024909729245917
v87,17664.0,-0.0003459824185884857,0.0008908134981077988,-0.0070690063078546,-0.000779684528381525,-0.00013897024676195,0.0001830289040971,0.0026084710739152
v88,17664.0,-0.0003606158132955912,0.0008318289370897306,-0.0067061179105803,-0.0007565288871973,-0.00026883161782779996,0.00019533065584455002,0.0012014617492593
v89,17664.0,-0.0003423066822687333,0.0007338161386077237,-0.0057831755056056,-0.0007424537198111001,-0.0003131593419001,0.00021219727388155,0.0013393869325908
v90,17664.0,-0.0003539626063144997,0.0007822266768651678,-0.0059249567328601,-0.0007404152366616001,-0.00027685784744019997,0.00020204454617567502,0.0013729145766278
v91,17664.0,-0.0003400266434955854,0.000745226509495109,-0.0043418218552042,-0.0007629890666577749,-0.00029044269589319997,0.000210855422778425,0.0021768184613043
v92,17664.0,-0.00034813380832166214,0.0008747539635841344,-0.0067227371091072,-0.00079984119672665,-0.000156871424971,0.000191495452996025,0.0024454265611074
v93,17664.0,-0.00034526628901251975,0.0010484896649502486,-0.0080652713148209,-0.000787046087540425,4.835858534793513e-07,0.00018201186321405,0.003151591025728
v94,17664.0,-0.00034750564499011325,0.0014258211206385073,-0.0095106849936349,-0.00048053865413607503,0.00011423645119,0.00023848187680175002,0.0046251515591124
v95,17664.0,-0.00038633013071926847,0.0023249968350072432,-0.018441153683094,2.8370643495485848e-05,0.00021078161147275,0.000346832766743625,0.0080883625619254
v96,17664.0,-0.0006857562587349003,0.0051015576150786664,-0.0383199872482171,0.00012921270849585,0.00035905970724414997,0.00064873547761635,0.0153787155439363
v97,17664.0,-0.0007797580879569529,0.005292211013736287,-0.0454144870006982,0.000126562499864725,0.0003634454052595,0.000617374885977375,0.0096030084852027
v98,17664.0,-0.0004595230332604699,0.00244705958079617,-0.0153304833971071,2.8735664613475584e-05,0.0001999385291374,0.000348869430818525,0.0071026338426588
v99,17664.0,-0.0003781275336642883,0.0015338849069538752,-0.0125468131832076,-0.0004908135896136,0.0001159654311838,0.000238202986705175,0.0035603359366894
v100,17664.0,-0.0003512965171625578,0.001051153158255147,-0.0055536134767919,-0.0007107420262421,2.0127955203372988e-05,0.000182932473458975,0.0030881471073726
v101,17664.0,-0.000362859029716091,0.0009099035270937107,-0.0077211950583937,-0.0007865867799899499,-0.00012208646649089998,0.00017384459603805,0.0021430649687662
v102,17664.0,-0.00034151467518370713,0.0007318819646718756,-0.0041668362135705,-0.000767380677683375,-0.0002461356572416,0.00019501486201325,0.0019575761943614
v103,17664.0,-0.0003526707966956817,0.0007298748026657697,-0.00441937405998,-0.0007647203259338,-0.00027566794769340005,0.000222096081089025,0.0019516701301378
v104,17664.0,-0.0003496187298517147,0.000721579450588248,-0.0040030164088643,-0.000785075736982575,-0.00025346562475435,0.00021796711084015,0.0020275446407039
v105,17664.0,-0.00035700006377379473,0.0007842427311392597,-0.0060806038376995,-0.0007440969957629999,-0.0002832585796637,0.000200811023298125,0.0017338435640309
v106,17664.0,-0.00035265987017346574,0.0008538560034794173,-0.006401944326671,-0.0007797671674176501,-0.0001670895348634,0.00017855109498155001,0.0015005475162123
v107,17664.0,-0.0003477471491347985,0.0010330091134802967,-0.0070143836202352,-0.000723578979035725,0.0,0.000192845274043925,0.0026648353047517
v108,17664.0,-0.0003539694155178606,0.0014281945067465196,-0.0108130360330196,-0.000428785975576675,0.00011486266263095,0.000231760196419875,0.0035620345150252
v109,17664.0,-0.0004594772093573145,0.0023691622781189955,-0.014385568862686,5.782545962940144e-05,0.00020839136081679999,0.00034654329468992496,0.0080453797850802
v110,17664.0,-0.0007948976200968677,0.005504307362948263,-0.0551438185641472,0.0001325545201452,0.00036137839998215003,0.000686154901616575,0.0064341580284577
v111,17664.0,-0.0007632421240723271,0.005143951335566693,-0.0381263246084208,0.00013058735823605,0.00035394026147155,0.000631398204695725,0.0107493276944181
v112,17664.0,-0.0004631567819493935,0.0025069779043491902,-0.0221716695521409,3.407390761934678e-05,0.00020069849504655,0.00034305927773425004,0.0058396720968954
v113,17664.0,-0.0003803237601543325,0.0014513162915973947,-0.0089794824244515,-0.0004148697074377,0.0001166094184974,0.000218458698323325,0.0040712877539195
v114,17664.0,-0.000379561777255416,0.0011340269265699237,-0.0098454227750817,-0.000776591898470525,0.0,0.00017802870098685,0.0019457065824459
v115,17664.0,-0.000349895271425721,0.0008235019192179652,-0.0048319639831665,-0.0008009061622508749,-0.00015315875618970002,0.0001760392002489,0.001712429502844
v116,17664.0,-0.0003617799215677343,0.0007642628539710171,-0.0047105539567282,-0.0007901082516223,-0.0002195133659351,0.00019870952190365,0.0013370847348872
v117,17664.0,-0.0003496872547854978,0.0007598486412261799,-0.0051484345580178,-0.00078376975601725,-0.0002621966932423,0.000197793796529575,0.002034096650781
v118,17664.0,-0.00035581634378311727,0.0007720608662904546,-0.0059368019375006,-0.00077000670329195,-0.00031025728311245,0.00021362505175835,0.0015543001563088
v119,17664.0,-0.0003499846977676277,0.0007786688544410735,-0.0055774280625368,-0.000772726138885925,-0.00024844983282125,0.000189102638463875,0.0014281606554737
v120,17664.0,-0.0003417934120566984,0.0008658566015095151,-0.0061342264024701,-0.0007750130165096001,-0.00011767649256585,0.00018350641092525,0.0019695758442241
v121,17664.0,-0.00033529628188724397,0.0010700932225316568,-0.0077617867088548,-0.000748554939478,1.8685556240016776e-05,0.000187402351289725,0.0024214513886452
v122,17664.0,-0.0003739315197425388,0.001518992722511648,-0.0111309398750694,-0.000385651113571625,0.00011824369203775,0.00024258199700645001,0.0041976895662085
v123,17664.0,-0.0004680297378449099,0.0026137877407880245,-0.0224774029609898,4.3408708807021745e-05,0.00020421534821984998,0.000351423649079975,0.0082601989024489
v124,17664.0,-0.0007797580879570377,0.0052922110137362905,-0.0454144870006983,0.00012656249986455,0.00036344540525940004,0.000617374885977225,0.0096030084852025
v125,17664.0,-0.0008277471340783206,0.005718614581512813,-0.0567550716148862,0.000123144440710475,0.00035026109497375004,0.000629307809521675,0.0052303401181342
v126,17664.0,-0.00047959970488922673,0.0024084108102463563,-0.014586988626657,5.759474527196155e-05,0.00020537083066990002,0.00034598006594725,0.0063525758219675
v127,17664.0,-0.0004163481350011256,0.00159986158898327,-0.0141445149428322,-0.00050728921793225,0.000109660341087,0.00022197205746155,0.0033703090688086
v128,17664.0,-0.0003578834631848755,0.001020677974368777,-0.0068852249336584,-0.0007735893502403,-1.9912942978532466e-06,0.00018252714743515,0.0023100887383451
v129,17664.0,-0.00036504225421882697,0.0008701277461996851,-0.0057119933955013,-0.000803029484670725,-0.00015311870968119998,0.000171699146959225,0.0016098385609178
v130,17664.0,-0.0003492772302679197,0.0008829930249361304,-0.0064681796817627,-0.000803485553538875,-0.00011897064987155,0.0001708137442545,0.0026954254169716
v131,17664.0,-0.0003548741799267623,0.0008272875224602029,-0.0063036723143998,-0.0007790940773214,-0.00025166986694419996,0.00019036355165485,0.0023238380470528
v132,17664.0,-0.0003488356121661648,0.0007687083269930075,-0.0053347308583992,-0.0007524155085514,-0.00028812166999115003,0.000200264369874475,0.0021746815724558
v133,17664.0,-0.00034100815458768056,0.0007867783712034308,-0.0054588060632384,-0.00075082835075545,-0.0002692853461328,0.000186383817539625,0.002198602133191
v134,17664.0,-0.00033255148836622495,0.0008802701258981293,-0.0060476065770941,-0.0007971649797861499,-0.0001642730979458,0.00018302771526282498,0.0024035200151525
v135,17664.0,-0.00035044822714551627,0.0011018323293503236,-0.0073176695601778,-0.0007357487424947,0.0,0.00019507200396495,0.002861970757744
